Action,Corporate Cluster ID,Old Jobs Search URL,Resolved Corporate Website,Resolved Careers Landing URL,Resolved Jobs Search URL,Portal Scope,ATS Family,ATS Confidence,Portal Resolution Status,Portal Verification URL,Portal Verified Date,Resolution Parent Override,Resolution Wave,Reason
UPDATE,CG-65765A0DC7,https://careers.brunellocucinelli.com/,https://www.brunellocucinelli.com,https://umanerisorse.brunellocucinelli.com/static/en/humanresources.html,https://brunellocucinelli.wd3.myworkdayjobs.com/Cucinelli,Global/Italy group portal,Workday,Verified,VERIFIED_CORRECTION_1,https://umanerisorse.brunellocucinelli.com/static/en/humanresources.html,2026-08-31,,C1,Run 17 DNS failure; official Human Resources link now redirects to the named public Workday board
SUSPEND,CG-4645224745,https://careers.caterpillar.com/en/jobs/,,,,,,,,https://www.caterpillar.com/en/careers.html,2026-08-31,,,Run 17 HTTP 403; official route remains valid but automatic access is suspended
UPDATE,CG-03F61B2055,https://careers.centrica.com/search/,https://www.centrica.com,https://www.lifeatcentrica.com/,https://www.lifeatcentrica.com/jobs/,UK/global energy portal,Custom / branded portal,High,VERIFIED_CORRECTION_1,https://www.centrica.com/who-we-are/contacts/,2026-08-31,,C1,Run 17 DNS failure; Centrica corporate contacts now identify Life at Centrica as the official careers site
SUSPEND,CG-5C528EBC85,https://careers.checkpoint.com/,,,,,,,,https://www.checkpoint.com/careers/,2026-08-31,,,Run 17 robots access denial; mapping retained but automatic scanning is suspended
UPDATE,CG-DB3CDDDD23,https://careers.equinix.com/jobs,https://www.equinix.com,https://careers.equinix.com/,https://careers.equinix.com/jobs/search,Global data-center portal,Custom / branded portal,High,VERIFIED_CORRECTION_1,https://careers.equinix.com/,2026-08-31,,C1,Run 17 old route returned 404; official careers navigation identifies the jobs search endpoint
RETIRE,CG-F942AAE2EC,https://careers.ivecogroup.com/,,,,,,,,https://www.ivecogroup.com/careers/join_us,2026-08-31,,,Run 17 DNS failure; the current official Find a Job action leads only to LinkedIn and no independent public jobs endpoint was verified
SUSPEND,CG-BCEE506CE2,https://careers.leidos.com/search/jobs,,,,,,,,https://www.leidos.com/careers/faqs,2026-08-31,,,Run 17 robots access denial; mapping retained but automatic scanning is suspended
SUSPEND,CG-FECCA80722,https://careers.mimecast.com/en/jobs/,,,,,,,,https://careers.mimecast.com/en/,2026-08-31,,,Run 17 HTTP 403; official route remains valid but automatic access is suspended
UPDATE,CG-0B4E4886EB,https://careers.pypl.com/home/,https://www.paypal.com,https://careers.pypl.com/home/default.aspx,https://paypal.wd1.myworkdayjobs.com/jobs,Global portal,Workday,Verified,VERIFIED_CORRECTION_1,https://careers.pypl.com/home/default.aspx,2026-08-31,,C1,Run 17 branded route returned an access challenge; official PayPal job details expose the named public Workday board
SUSPEND,CG-3992469ADB,https://careers.servicenow.com/jobs,,,,,,,,https://careers.servicenow.com/jobs,2026-08-31,,,Run 17 HTTP 403; official route remains valid but automatic access is suspended
